,date,home_team,score,away_team,season
148,22-04-2018,Stoke,1 - 1,Burnley,17/18
149,28-04-2018,Burnley,0 - 0,Brighton,17/18
150,06-05-2018,Arsenal,5 - 0,Burnley,17/18
151,13-05-2018,Burnley,1 - 2,Bournemouth,17/18
152,12-08-2017,Chelsea,2 - 3,Burnley,17/18
153,20-08-2017,Tottenham,1 - 2,Chelsea,17/18
154,27-08-2017,Chelsea,2 - 0,Everton,17/18
155,09-09-2017,Leicester,1 - 2,Chelsea,17/18
156,17-09-2017,Chelsea,0 - 0,Arsenal,17/18
157,23-09-2017,Stoke,0 - 4,Chelsea,17/18
158,30-09-2017,Chelsea,0 - 1,Man City,17/18
159,14-10-2017,Crystal Palace,2 - 1,Chelsea,17/18
160,21-10-2017,Chelsea,4 - 2,Watford,17/18
161,28-10-2017,Bournemouth,0 - 1,Chelsea,17/18
162,05-11-2017,Chelsea,1 - 0,Man United,17/18
163,18-11-2017,West Brom,0 - 4,Chelsea,17/18
164,25-11-2017,Liverpool,1 - 1,Chelsea,17/18
165,29-11-2017,Chelsea,1 - 0,Swansea,17/18
166,02-12-2017,Chelsea,3 - 1,Newcastle,17/18
167,09-12-2017,West Ham,1 - 0,Chelsea,17/18
168,12-12-2017,Huddersfield,1 - 3,Chelsea,17/18
169,16-12-2017,Chelsea,1 - 0,Southampton,17/18
170,23-12-2017,Everton,0 - 0,Chelsea,17/18
171,26-12-2017,Chelsea,2 - 0,Brighton,17/18
172,30-12-2017,Chelsea,5 - 0,Stoke,17/18
173,03-01-2018,Arsenal,2 - 2,Chelsea,17/18
174,13-01-2018,Chelsea,0 - 0,Leicester,17/18
175,20-01-2018,Brighton,0 - 4,Chelsea,17/18
176,31-01-2018,Chelsea,0 - 3,Bournemouth,17/18
177,05-02-2018,Watford,4 - 1,Chelsea,17/18
178,12-02-2018,Chelsea,3 - 0,West Brom,17/18
179,25-02-2018,Man United,2 - 1,Chelsea,17/18
180,04-03-2018,Man City,1 - 0,Chelsea,17/18
181,10-03-2018,Chelsea,2 - 1,Crystal Palace,17/18
182,01-04-2018,Chelsea,1 - 3,Tottenham,17/18
183,08-04-2018,Chelsea,1 - 1,West Ham,17/18
184,14-04-2018,Southampton,2 - 3,Chelsea,17/18
185,19-04-2018,Burnley,1 - 2,Chelsea,17/18
186,28-04-2018,Swansea,0 - 1,Chelsea,17/18
187,06-05-2018,Chelsea,1 - 0,Liverpool,17/18
188,09-05-2018,Chelsea,1 - 1,Huddersfield,17/18
189,13-05-2018,Newcastle,3 - 0,Chelsea,17/18
190,12-08-2017,Crystal Palace,0 - 3,Huddersfield,17/18
191,19-08-2017,Liverpool,1 - 0,Crystal Palace,17/18
192,26-08-2017,Crystal Palace,0 - 2,Swansea,17/18
193,10-09-2017,Burnley,1 - 0,Crystal Palace,17/18
194,16-09-2017,Crystal Palace,0 - 1,Southampton,17/18
195,23-09-2017,Man City,5 - 0,Crystal Palace,17/18
196,30-09-2017,Man United,4 - 0,Crystal Palace,17/18
197,14-10-2017,Crystal Palace,2 - 1,Chelsea,17/18
198,21-10-2017,Newcastle,1 - 0,Crystal Palace,17/18
199,28-10-2017,Crystal Palace,2 - 2,West Ham,17/18
200,05-11-2017,Tottenham,1 - 0,Crystal Palace,17/18
201,18-11-2017,Crystal Palace,2 - 2,Everton,17/18
202,25-11-2017,Crystal Palace,2 - 1,Stoke,17/18
203,28-11-2017,Brighton,0 - 0,Crystal Palace,17/18
204,02-12-2017,West Brom,0 - 0,Crystal Palace,17/18
205,09-12-2017,Crystal Palace,2 - 2,Bournemouth,17/18
206,12-12-2017,Crystal Palace,2 - 1,Watford,17/18
207,16-12-2017,Leicester,0 - 3,Crystal Palace,17/18
208,23-12-2017,Swansea,1 - 1,Crystal Palace,17/18
209,28-12-2017,Crystal Palace,2 - 3,Arsenal,17/18
210,31-12-2017,Crystal Palace,0 - 0,Man City,17/18
211,02-01-2018,Southampton,1 - 2,Crystal Palace,17/18
212,13-01-2018,Crystal Palace,1 - 0,Burnley,17/18
213,20-01-2018,Arsenal,4 - 1,Crystal Palace,17/18
214,30-01-2018,West Ham,1 - 1,Crystal Palace,17/18
215,04-02-2018,Crystal Palace,1 - 1,Newcastle,17/18
216,10-02-2018,Everton,3 - 1,Crystal Palace,17/18
217,25-02-2018,Crystal Palace,0 - 1,Tottenham,17/18
218,05-03-2018,Crystal Palace,2 - 3,Man United,17/18
219,10-03-2018,Chelsea,2 - 1,Crystal Palace,17/18
