,date,home_team,score,away_team,season
933,12-01-2019,Cardiff,0 - 0,Huddersfield,18/19
934,19-01-2019,Newcastle,3 - 0,Cardiff,18/19
935,29-01-2019,Arsenal,2 - 1,Cardiff,18/19
936,02-02-2019,Cardiff,2 - 0,Bournemouth,18/19
937,09-02-2019,Southampton,1 - 2,Cardiff,18/19
938,22-02-2019,Cardiff,1 - 5,Watford,18/19
939,26-02-2019,Cardiff,0 - 3,Everton,18/19
940,02-03-2019,Wolves,2 - 0,Cardiff,18/19
941,09-03-2019,Cardiff,2 - 0,West Ham,18/19
942,31-03-2019,Cardiff,1 - 2,Chelsea,18/19
943,03-04-2019,Man City,2 - 0,Cardiff,18/19
944,13-04-2019,Burnley,2 - 0,Cardiff,18/19
945,16-04-2019,Brighton,0 - 2,Cardiff,18/19
946,21-04-2019,Cardiff,0 - 2,Liverpool,18/19
947,27-04-2019,Fulham,1 - 0,Cardiff,18/19
948,04-05-2019,Cardiff,2 - 3,Crystal Palace,18/19
949,12-05-2019,Man United,0 - 2,Cardiff,18/19
950,11-08-2018,Huddersfield,0 - 3,Chelsea,18/19
951,18-08-2018,Chelsea,3 - 2,Arsenal,18/19
952,26-08-2018,Newcastle,1 - 2,Chelsea,18/19
953,01-09-2018,Chelsea,2 - 0,Bournemouth,18/19
954,15-09-2018,Chelsea,4 - 1,Cardiff,18/19
955,23-09-2018,West Ham,0 - 0,Chelsea,18/19
956,29-09-2018,Chelsea,1 - 1,Liverpool,18/19
957,07-10-2018,Southampton,0 - 3,Chelsea,18/19
958,20-10-2018,Chelsea,2 - 2,Man United,18/19
959,28-10-2018,Burnley,0 - 4,Chelsea,18/19
960,04-11-2018,Chelsea,3 - 1,Crystal Palace,18/19
961,11-11-2018,Chelsea,0 - 0,Everton,18/19
962,24-11-2018,Tottenham,3 - 1,Chelsea,18/19
963,02-12-2018,Chelsea,2 - 0,Fulham,18/19
964,05-12-2018,Wolves,2 - 1,Chelsea,18/19
965,08-12-2018,Chelsea,2 - 0,Man City,18/19
966,16-12-2018,Brighton,1 - 2,Chelsea,18/19
967,22-12-2018,Chelsea,0 - 1,Leicester,18/19
968,26-12-2018,Watford,1 - 2,Chelsea,18/19
969,30-12-2018,Crystal Palace,0 - 1,Chelsea,18/19
970,02-01-2019,Chelsea,0 - 0,Southampton,18/19
971,12-01-2019,Chelsea,2 - 1,Newcastle,18/19
972,19-01-2019,Arsenal,2 - 0,Chelsea,18/19
973,30-01-2019,Bournemouth,4 - 0,Chelsea,18/19
974,02-02-2019,Chelsea,5 - 0,Huddersfield,18/19
975,10-02-2019,Man City,6 - 0,Chelsea,18/19
976,27-02-2019,Chelsea,2 - 0,Tottenham,18/19
977,03-03-2019,Fulham,1 - 2,Chelsea,18/19
978,10-03-2019,Chelsea,1 - 1,Wolves,18/19
979,17-03-2019,Everton,2 - 0,Chelsea,18/19
980,31-03-2019,Cardiff,1 - 2,Chelsea,18/19
981,03-04-2019,Chelsea,3 - 0,Brighton,18/19
982,08-04-2019,Chelsea,2 - 0,West Ham,18/19
983,14-04-2019,Liverpool,2 - 0,Chelsea,18/19
984,22-04-2019,Chelsea,2 - 2,Burnley,18/19
985,28-04-2019,Man United,1 - 1,Chelsea,18/19
986,05-05-2019,Chelsea,3 - 0,Watford,18/19
987,12-05-2019,Leicester,0 - 0,Chelsea,18/19
988,11-08-2018,Fulham,0 - 2,Crystal Palace,18/19
989,20-08-2018,Crystal Palace,0 - 2,Liverpool,18/19
990,26-08-2018,Watford,2 - 1,Crystal Palace,18/19
991,01-09-2018,Crystal Palace,0 - 2,Southampton,18/19
992,15-09-2018,Huddersfield,0 - 1,Crystal Palace,18/19
993,22-09-2018,Crystal Palace,0 - 0,Newcastle,18/19
994,01-10-2018,Bournemouth,2 - 1,Crystal Palace,18/19
995,06-10-2018,Crystal Palace,0 - 1,Wolves,18/19
996,21-10-2018,Everton,2 - 0,Crystal Palace,18/19
997,28-10-2018,Crystal Palace,2 - 2,Arsenal,18/19
998,04-11-2018,Chelsea,3 - 1,Crystal Palace,18/19
999,10-11-2018,Crystal Palace,0 - 1,Tottenham,18/19
1000,24-11-2018,Man United,0 - 0,Crystal Palace,18/19
1001,01-12-2018,Crystal Palace,2 - 0,Burnley,18/19
1002,04-12-2018,Brighton,3 - 1,Crystal Palace,18/19
1003,08-12-2018,West Ham,3 - 2,Crystal Palace,18/19
1004,15-12-2018,Crystal Palace,1 - 0,Leicester,18/19
1005,22-12-2018,Man City,2 - 3,Crystal Palace,18/19
1006,26-12-2018,Crystal Palace,0 - 0,Cardiff,18/19
1007,30-12-2018,Crystal Palace,0 - 1,Chelsea,18/19
1008,02-01-2019,Wolves,0 - 2,Crystal Palace,18/19
1009,12-01-2019,Crystal Palace,1 - 2,Watford,18/19
1010,19-01-2019,Liverpool,4 - 3,Crystal Palace,18/19
1011,30-01-2019,Southampton,1 - 1,Crystal Palace,18/19
1012,02-02-2019,Crystal Palace,2 - 0,Fulham,18/19
1013,09-02-2019,Crystal Palace,1 - 1,West Ham,18/19
1014,23-02-2019,Leicester,1 - 4,Crystal Palace,18/19
1015,27-02-2019,Crystal Palace,1 - 3,Man United,18/19
1016,02-03-2019,Burnley,1 - 3,Crystal Palace,18/19
1017,09-03-2019,Crystal Palace,1 - 2,Brighton,18/19
1018,30-03-2019,Crystal Palace,2 - 0,Huddersfield,18/19
1019,03-04-2019,Tottenham,2 - 0,Crystal Palace,18/19
1020,06-04-2019,Newcastle,0 - 1,Crystal Palace,18/19
1021,14-04-2019,Crystal Palace,1 - 3,Man City,18/19
1022,21-04-2019,Arsenal,2 - 3,Crystal Palace,18/19
1023,27-04-2019,Crystal Palace,0 - 0,Everton,18/19
1024,04-05-2019,Cardiff,2 - 3,Crystal Palace,18/19
1025,12-05-2019,Crystal Palace,5 - 3,Bournemouth,18/19
1026,11-08-2018,Wolves,2 - 2,Everton,18/19
1027,18-08-2018,Everton,2 - 1,Southampton,18/19
1028,25-08-2018,Bournemouth,2 - 2,Everton,18/19
1029,01-09-2018,Everton,1 - 1,Huddersfield,18/19
1030,16-09-2018,Everton,1 - 3,West Ham,18/19
1031,23-09-2018,Arsenal,2 - 0,Everton,18/19
1032,29-09-2018,Everton,3 - 0,Fulham,18/19
1033,06-10-2018,Leicester,1 - 2,Everton,18/19
1034,21-10-2018,Everton,2 - 0,Crystal Palace,18/19
1035,28-10-2018,Man United,2 - 1,Everton,18/19
1036,03-11-2018,Everton,3 - 1,Brighton,18/19
1037,11-11-2018,Chelsea,0 - 0,Everton,18/19
1038,24-11-2018,Everton,1 - 0,Cardiff,18/19
1039,02-12-2018,Liverpool,1 - 0,Everton,18/19
1040,05-12-2018,Everton,1 - 1,Newcastle,18/19
1041,10-12-2018,Everton,2 - 2,Watford,18/19
1042,15-12-2018,Man City,3 - 1,Everton,18/19
1043,23-12-2018,Everton,2 - 6,Tottenham,18/19
1044,26-12-2018,Burnley,1 - 5,Everton,18/19
1045,29-12-2018,Brighton,1 - 0,Everton,18/19
1046,01-01-2019,Everton,0 - 1,Leicester,18/19
1047,13-01-2019,Everton,2 - 0,Bournemouth,18/19
1048,19-01-2019,Southampton,2 - 1,Everton,18/19
1049,29-01-2019,Huddersfield,0 - 1,Everton,18/19
1050,02-02-2019,Everton,1 - 3,Wolves,18/19
1051,06-02-2019,Everton,0 - 2,Man City,18/19
1052,09-02-2019,Watford,1 - 0,Everton,18/19
1053,26-02-2019,Cardiff,0 - 3,Everton,18/19
1054,03-03-2019,Everton,0 - 0,Liverpool,18/19
1055,09-03-2019,Newcastle,3 - 2,Everton,18/19
1056,17-03-2019,Everton,2 - 0,Chelsea,18/19
1057,30-03-2019,West Ham,0 - 2,Everton,18/19
1058,07-04-2019,Everton,1 - 0,Arsenal,18/19
1059,13-04-2019,Fulham,2 - 0,Everton,18/19
1060,21-04-2019,Everton,4 - 0,Man United,18/19
1061,27-04-2019,Crystal Palace,0 - 0,Everton,18/19
1062,03-05-2019,Everton,2 - 0,Burnley,18/19
1063,12-05-2019,Tottenham,2 - 2,Everton,18/19
1064,11-08-2018,Fulham,0 - 2,Crystal Palace,18/19
1065,18-08-2018,Tottenham,3 - 1,Fulham,18/19
1066,26-08-2018,Fulham,4 - 2,Burnley,18/19
1067,01-09-2018,Brighton,2 - 2,Fulham,18/19
1068,15-09-2018,Man City,3 - 0,Fulham,18/19
1069,22-09-2018,Fulham,1 - 1,Watford,18/19
1070,29-09-2018,Everton,3 - 0,Fulham,18/19
1071,07-10-2018,Fulham,1 - 5,Arsenal,18/19
1072,20-10-2018,Cardiff,4 - 2,Fulham,18/19
1073,27-10-2018,Fulham,0 - 3,Bournemouth,18/19
1074,05-11-2018,Huddersfield,1 - 0,Fulham,18/19
1075,11-11-2018,Liverpool,2 - 0,Fulham,18/19
1076,24-11-2018,Fulham,3 - 2,Southampton,18/19
1077,02-12-2018,Chelsea,2 - 0,Fulham,18/19
1078,05-12-2018,Fulham,1 - 1,Leicester,18/19
1079,08-12-2018,Man United,4 - 1,Fulham,18/19
1080,15-12-2018,Fulham,0 - 2,West Ham,18/19
1081,22-12-2018,Newcastle,0 - 0,Fulham,18/19
1082,26-12-2018,Fulham,1 - 1,Wolves,18/19
1083,29-12-2018,Fulham,1 - 0,Huddersfield,18/19
1084,01-01-2019,Arsenal,4 - 1,Fulham,18/19
1085,12-01-2019,Burnley,2 - 1,Fulham,18/19
1086,20-01-2019,Fulham,1 - 2,Tottenham,18/19
1087,29-01-2019,Fulham,4 - 2,Brighton,18/19
1088,02-02-2019,Crystal Palace,2 - 0,Fulham,18/19
1089,09-02-2019,Fulham,0 - 3,Man United,18/19
1090,22-02-2019,West Ham,3 - 1,Fulham,18/19
1091,27-02-2019,Southampton,2 - 0,Fulham,18/19
1092,03-03-2019,Fulham,1 - 2,Chelsea,18/19
1093,09-03-2019,Leicester,3 - 1,Fulham,18/19
1094,17-03-2019,Fulham,1 - 2,Liverpool,18/19
1095,30-03-2019,Fulham,0 - 2,Man City,18/19
1096,02-04-2019,Watford,4 - 1,Fulham,18/19
1097,13-04-2019,Fulham,2 - 0,Everton,18/19
1098,20-04-2019,Bournemouth,0 - 1,Fulham,18/19
1099,27-04-2019,Fulham,1 - 0,Cardiff,18/19
1100,04-05-2019,Wolves,1 - 0,Fulham,18/19
1101,12-05-2019,Fulham,0 - 4,Newcastle,18/19
1102,11-08-2018,Huddersfield,0 - 3,Chelsea,18/19
1103,19-08-2018,Man City,6 - 1,Huddersfield,18/19
1104,25-08-2018,Huddersfield,0 - 0,Cardiff,18/19
1105,01-09-2018,Everton,1 - 1,Huddersfield,18/19
1106,15-09-2018,Huddersfield,0 - 1,Crystal Palace,18/19
1107,22-09-2018,Leicester,3 - 1,Huddersfield,18/19
1108,29-09-2018,Huddersfield,0 - 2,Tottenham,18/19
1109,06-10-2018,Burnley,1 - 1,Huddersfield,18/19
1110,20-10-2018,Huddersfield,0 - 1,Liverpool,18/19
1111,27-10-2018,Watford,3 - 0,Huddersfield,18/19
1112,05-11-2018,Huddersfield,1 - 0,Fulham,18/19
1113,10-11-2018,Huddersfield,1 - 1,West Ham,18/19
1114,25-11-2018,Wolves,0 - 2,Huddersfield,18/19
1115,01-12-2018,Huddersfield,1 - 2,Brighton,18/19
1116,04-12-2018,Bournemouth,2 - 1,Huddersfield,18/19
1117,08-12-2018,Arsenal,1 - 0,Huddersfield,18/19
1118,15-12-2018,Huddersfield,0 - 1,Newcastle,18/19
1119,22-12-2018,Huddersfield,1 - 3,Southampton,18/19
1120,26-12-2018,Man United,3 - 1,Huddersfield,18/19
1121,29-12-2018,Fulham,1 - 0,Huddersfield,18/19
1122,02-01-2019,Huddersfield,1 - 2,Burnley,18/19
1123,12-01-2019,Cardiff,0 - 0,Huddersfield,18/19
1124,20-01-2019,Huddersfield,0 - 3,Man City,18/19
1125,29-01-2019,Huddersfield,0 - 1,Everton,18/19
1126,02-02-2019,Chelsea,5 - 0,Huddersfield,18/19
1127,09-02-2019,Huddersfield,1 - 2,Arsenal,18/19
1128,23-02-2019,Newcastle,2 - 0,Huddersfield,18/19
1129,26-02-2019,Huddersfield,1 - 0,Wolves,18/19
1130,02-03-2019,Brighton,1 - 0,Huddersfield,18/19
1131,09-03-2019,Huddersfield,0 - 2,Bournemouth,18/19
1132,16-03-2019,West Ham,4 - 3,Huddersfield,18/19
1133,30-03-2019,Crystal Palace,2 - 0,Huddersfield,18/19
1134,06-04-2019,Huddersfield,1 - 4,Leicester,18/19
1135,13-04-2019,Tottenham,4 - 0,Huddersfield,18/19
1136,20-04-2019,Huddersfield,1 - 2,Watford,18/19
1137,26-04-2019,Liverpool,5 - 0,Huddersfield,18/19
1138,05-05-2019,Huddersfield,1 - 1,Man United,18/19
1139,12-05-2019,Southampton,1 - 1,Huddersfield,18/19
1140,10-08-2018,Man United,2 - 1,Leicester,18/19
1141,18-08-2018,Leicester,2 - 0,Wolves,18/19
1142,25-08-2018,Southampton,1 - 2,Leicester,18/19
1143,01-09-2018,Leicester,1 - 2,Liverpool,18/19
1144,15-09-2018,Bournemouth,4 - 2,Leicester,18/19
1145,22-09-2018,Leicester,3 - 1,Huddersfield,18/19
1146,29-09-2018,Newcastle,0 - 2,Leicester,18/19
1147,06-10-2018,Leicester,1 - 2,Everton,18/19
1148,22-10-2018,Arsenal,3 - 1,Leicester,18/19
1149,27-10-2018,Leicester,1 - 1,West Ham,18/19
1150,03-11-2018,Cardiff,0 - 1,Leicester,18/19
1151,10-11-2018,Leicester,0 - 0,Burnley,18/19
1152,24-11-2018,Brighton,1 - 1,Leicester,18/19
1153,01-12-2018,Leicester,2 - 0,Watford,18/19
1154,05-12-2018,Fulham,1 - 1,Leicester,18/19
1155,08-12-2018,Leicester,0 - 2,Tottenham,18/19
1156,15-12-2018,Crystal Palace,1 - 0,Leicester,18/19
1157,22-12-2018,Chelsea,0 - 1,Leicester,18/19
1158,26-12-2018,Leicester,2 - 1,Man City,18/19
1159,29-12-2018,Leicester,0 - 1,Cardiff,18/19
1160,01-01-2019,Everton,0 - 1,Leicester,18/19
1161,12-01-2019,Leicester,1 - 2,Southampton,18/19
1162,19-01-2019,Wolves,4 - 3,Leicester,18/19
1163,30-01-2019,Liverpool,1 - 1,Leicester,18/19
1164,03-02-2019,Leicester,0 - 1,Man United,18/19
1165,10-02-2019,Tottenham,3 - 1,Leicester,18/19
1166,23-02-2019,Leicester,1 - 4,Crystal Palace,18/19
1167,26-02-2019,Leicester,2 - 1,Brighton,18/19
1168,03-03-2019,Watford,2 - 1,Leicester,18/19
1169,09-03-2019,Leicester,3 - 1,Fulham,18/19
1170,16-03-2019,Burnley,1 - 2,Leicester,18/19
1171,30-03-2019,Leicester,2 - 0,Bournemouth,18/19
1172,06-04-2019,Huddersfield,1 - 4,Leicester,18/19
1173,12-04-2019,Leicester,0 - 1,Newcastle,18/19
1174,20-04-2019,West Ham,2 - 2,Leicester,18/19
1175,28-04-2019,Leicester,3 - 0,Arsenal,18/19
1176,06-05-2019,Man City,1 - 0,Leicester,18/19
1177,12-05-2019,Leicester,0 - 0,Chelsea,18/19
1178,12-08-2018,Liverpool,4 - 0,West Ham,18/19
1179,20-08-2018,Crystal Palace,0 - 2,Liverpool,18/19
1180,25-08-2018,Liverpool,1 - 0,Brighton,18/19
1181,01-09-2018,Leicester,1 - 2,Liverpool,18/19
1182,15-09-2018,Tottenham,1 - 2,Liverpool,18/19
1183,22-09-2018,Liverpool,3 - 0,Southampton,18/19
1184,29-09-2018,Chelsea,1 - 1,Liverpool,18/19
1185,07-10-2018,Liverpool,0 - 0,Man City,18/19
1186,20-10-2018,Huddersfield,0 - 1,Liverpool,18/19
1187,27-10-2018,Liverpool,4 - 1,Cardiff,18/19
1188,03-11-2018,Arsenal,1 - 1,Liverpool,18/19
1189,11-11-2018,Liverpool,2 - 0,Fulham,18/19
1190,24-11-2018,Watford,0 - 3,Liverpool,18/19
1191,02-12-2018,Liverpool,1 - 0,Everton,18/19
1192,05-12-2018,Burnley,1 - 3,Liverpool,18/19
1193,08-12-2018,Bournemouth,0 - 4,Liverpool,18/19
1194,16-12-2018,Liverpool,3 - 1,Man United,18/19
1195,21-12-2018,Wolves,0 - 2,Liverpool,18/19
1196,26-12-2018,Liverpool,4 - 0,Newcastle,18/19
1197,29-12-2018,Liverpool,5 - 1,Arsenal,18/19
1198,03-01-2019,Man City,2 - 1,Liverpool,18/19
1199,12-01-2019,Brighton,0 - 1,Liverpool,18/19
1200,19-01-2019,Liverpool,4 - 3,Crystal Palace,18/19
1201,30-01-2019,Liverpool,1 - 1,Leicester,18/19
1202,04-02-2019,West Ham,1 - 1,Liverpool,18/19
1203,09-02-2019,Liverpool,3 - 0,Bournemouth,18/19
1204,24-02-2019,Man United,0 - 0,Liverpool,18/19
1205,27-02-2019,Liverpool,5 - 0,Watford,18/19
1206,03-03-2019,Everton,0 - 0,Liverpool,18/19
1207,10-03-2019,Liverpool,4 - 2,Burnley,18/19
1208,17-03-2019,Fulham,1 - 2,Liverpool,18/19
1209,31-03-2019,Liverpool,2 - 1,Tottenham,18/19
1210,05-04-2019,Southampton,1 - 3,Liverpool,18/19
1211,14-04-2019,Liverpool,2 - 0,Chelsea,18/19
1212,21-04-2019,Cardiff,0 - 2,Liverpool,18/19
1213,26-04-2019,Liverpool,5 - 0,Huddersfield,18/19
1214,04-05-2019,Newcastle,2 - 3,Liverpool,18/19
1215,12-05-2019,Liverpool,2 - 0,Wolves,18/19
1216,12-08-2018,Arsenal,0 - 2,Man City,18/19
1217,19-08-2018,Man City,6 - 1,Huddersfield,18/19
1218,25-08-2018,Wolves,1 - 1,Man City,18/19
1219,01-09-2018,Man City,2 - 1,Newcastle,18/19
1220,15-09-2018,Man City,3 - 0,Fulham,18/19
1221,22-09-2018,Cardiff,0 - 5,Man City,18/19
1222,29-09-2018,Man City,2 - 0,Brighton,18/19
1223,07-10-2018,Liverpool,0 - 0,Man City,18/19
1224,20-10-2018,Man City,5 - 0,Burnley,18/19
1225,29-10-2018,Tottenham,0 - 1,Man City,18/19
1226,04-11-2018,Man City,6 - 1,Southampton,18/19
1227,11-11-2018,Man City,3 - 1,Man United,18/19
1228,24-11-2018,West Ham,0 - 4,Man City,18/19
1229,01-12-2018,Man City,3 - 1,Bournemouth,18/19
1230,04-12-2018,Watford,1 - 2,Man City,18/19
1231,08-12-2018,Chelsea,2 - 0,Man City,18/19
1232,15-12-2018,Man City,3 - 1,Everton,18/19
1233,22-12-2018,Man City,2 - 3,Crystal Palace,18/19
1234,26-12-2018,Leicester,2 - 1,Man City,18/19
1235,30-12-2018,Southampton,1 - 3,Man City,18/19
1236,03-01-2019,Man City,2 - 1,Liverpool,18/19
1237,14-01-2019,Man City,3 - 0,Wolves,18/19
1238,20-01-2019,Huddersfield,0 - 3,Man City,18/19
1239,29-01-2019,Newcastle,2 - 1,Man City,18/19
1240,03-02-2019,Man City,3 - 1,Arsenal,18/19
1241,06-02-2019,Everton,0 - 2,Man City,18/19
1242,10-02-2019,Man City,6 - 0,Chelsea,18/19
1243,27-02-2019,Man City,1 - 0,West Ham,18/19
1244,02-03-2019,Bournemouth,0 - 1,Man City,18/19
1245,09-03-2019,Man City,3 - 1,Watford,18/19
1246,30-03-2019,Fulham,0 - 2,Man City,18/19
1247,03-04-2019,Man City,2 - 0,Cardiff,18/19
1248,14-04-2019,Crystal Palace,1 - 3,Man City,18/19
1249,20-04-2019,Man City,1 - 0,Tottenham,18/19
1250,24-04-2019,Man United,0 - 2,Man City,18/19
1251,28-04-2019,Burnley,0 - 1,Man City,18/19
1252,06-05-2019,Man City,1 - 0,Leicester,18/19
1253,12-05-2019,Brighton,1 - 4,Man City,18/19
1254,10-08-2018,Man United,2 - 1,Leicester,18/19
1255,19-08-2018,Brighton,3 - 2,Man United,18/19
1256,27-08-2018,Man United,0 - 3,Tottenham,18/19
1257,02-09-2018,Burnley,0 - 2,Man United,18/19
1258,15-09-2018,Watford,1 - 2,Man United,18/19
1259,22-09-2018,Man United,1 - 1,Wolves,18/19
1260,29-09-2018,West Ham,3 - 1,Man United,18/19
1261,06-10-2018,Man United,3 - 2,Newcastle,18/19
1262,20-10-2018,Chelsea,2 - 2,Man United,18/19
1263,28-10-2018,Man United,2 - 1,Everton,18/19
1264,03-11-2018,Bournemouth,1 - 2,Man United,18/19
1265,11-11-2018,Man City,3 - 1,Man United,18/19
1266,24-11-2018,Man United,0 - 0,Crystal Palace,18/19
1267,01-12-2018,Southampton,2 - 2,Man United,18/19
1268,05-12-2018,Man United,2 - 2,Arsenal,18/19
1269,08-12-2018,Man United,4 - 1,Fulham,18/19
1270,16-12-2018,Liverpool,3 - 1,Man United,18/19
1271,22-12-2018,Cardiff,1 - 5,Man United,18/19
1272,26-12-2018,Man United,3 - 1,Huddersfield,18/19
1273,30-12-2018,Man United,4 - 1,Bournemouth,18/19
1274,02-01-2019,Newcastle,0 - 2,Man United,18/19
1275,13-01-2019,Tottenham,0 - 1,Man United,18/19
1276,19-01-2019,Man United,2 - 1,Brighton,18/19
1277,29-01-2019,Man United,2 - 2,Burnley,18/19
1278,03-02-2019,Leicester,0 - 1,Man United,18/19
1279,09-02-2019,Fulham,0 - 3,Man United,18/19
1280,24-02-2019,Man United,0 - 0,Liverpool,18/19
1281,27-02-2019,Crystal Palace,1 - 3,Man United,18/19
1282,02-03-2019,Man United,3 - 2,Southampton,18/19
1283,10-03-2019,Arsenal,2 - 0,Man United,18/19
1284,30-03-2019,Man United,2 - 1,Watford,18/19
1285,02-04-2019,Wolves,2 - 1,Man United,18/19
1286,13-04-2019,Man United,2 - 1,West Ham,18/19
1287,21-04-2019,Everton,4 - 0,Man United,18/19
1288,24-04-2019,Man United,0 - 2,Man City,18/19
1289,28-04-2019,Man United,1 - 1,Chelsea,18/19
1290,05-05-2019,Huddersfield,1 - 1,Man United,18/19
1291,12-05-2019,Man United,0 - 2,Cardiff,18/19
1292,11-08-2018,Newcastle,1 - 2,Tottenham,18/19
1293,18-08-2018,Cardiff,0 - 0,Newcastle,18/19
1294,26-08-2018,Newcastle,1 - 2,Chelsea,18/19
1295,01-09-2018,Man City,2 - 1,Newcastle,18/19
1296,15-09-2018,Newcastle,1 - 2,Arsenal,18/19
1297,22-09-2018,Crystal Palace,0 - 0,Newcastle,18/19
1298,29-09-2018,Newcastle,0 - 2,Leicester,18/19
1299,06-10-2018,Man United,3 - 2,Newcastle,18/19
1300,20-10-2018,Newcastle,0 - 1,Brighton,18/19
1301,27-10-2018,Southampton,0 - 0,Newcastle,18/19
1302,03-11-2018,Newcastle,1 - 0,Watford,18/19
1303,10-11-2018,Newcastle,2 - 1,Bournemouth,18/19
1304,26-11-2018,Burnley,1 - 2,Newcastle,18/19
1305,01-12-2018,Newcastle,0 - 3,West Ham,18/19
1306,05-12-2018,Everton,1 - 1,Newcastle,18/19
1307,09-12-2018,Newcastle,1 - 2,Wolves,18/19
1308,15-12-2018,Huddersfield,0 - 1,Newcastle,18/19
1309,22-12-2018,Newcastle,0 - 0,Fulham,18/19
1310,26-12-2018,Liverpool,4 - 0,Newcastle,18/19
1311,29-12-2018,Watford,1 - 1,Newcastle,18/19
1312,02-01-2019,Newcastle,0 - 2,Man United,18/19
1313,12-01-2019,Chelsea,2 - 1,Newcastle,18/19
1314,19-01-2019,Newcastle,3 - 0,Cardiff,18/19
1315,29-01-2019,Newcastle,2 - 1,Man City,18/19
1316,02-02-2019,Tottenham,1 - 0,Newcastle,18/19
1317,11-02-2019,Wolves,1 - 1,Newcastle,18/19
1318,23-02-2019,Newcastle,2 - 0,Huddersfield,18/19
1319,26-02-2019,Newcastle,2 - 0,Burnley,18/19
1320,02-03-2019,West Ham,2 - 0,Newcastle,18/19
1321,09-03-2019,Newcastle,3 - 2,Everton,18/19
1322,16-03-2019,Bournemouth,2 - 2,Newcastle,18/19
1323,01-04-2019,Arsenal,2 - 0,Newcastle,18/19
1324,06-04-2019,Newcastle,0 - 1,Crystal Palace,18/19
1325,12-04-2019,Leicester,0 - 1,Newcastle,18/19
1326,20-04-2019,Newcastle,3 - 1,Southampton,18/19
1327,27-04-2019,Brighton,1 - 1,Newcastle,18/19
1328,04-05-2019,Newcastle,2 - 3,Liverpool,18/19
1329,12-05-2019,Fulham,0 - 4,Newcastle,18/19
1330,12-08-2018,Southampton,0 - 0,Burnley,18/19
1331,18-08-2018,Everton,2 - 1,Southampton,18/19
1332,25-08-2018,Southampton,1 - 2,Leicester,18/19
1333,01-09-2018,Crystal Palace,0 - 2,Southampton,18/19
1334,17-09-2018,Southampton,2 - 2,Brighton,18/19
1335,22-09-2018,Liverpool,3 - 0,Southampton,18/19
1336,29-09-2018,Wolves,2 - 0,Southampton,18/19
1337,07-10-2018,Southampton,0 - 3,Chelsea,18/19
1338,20-10-2018,Bournemouth,0 - 0,Southampton,18/19
1339,27-10-2018,Southampton,0 - 0,Newcastle,18/19
1340,04-11-2018,Man City,6 - 1,Southampton,18/19
1341,10-11-2018,Southampton,1 - 1,Watford,18/19
1342,24-11-2018,Fulham,3 - 2,Southampton,18/19
1343,01-12-2018,Southampton,2 - 2,Man United,18/19
1344,05-12-2018,Tottenham,3 - 1,Southampton,18/19
1345,08-12-2018,Cardiff,1 - 0,Southampton,18/19
1346,16-12-2018,Southampton,3 - 2,Arsenal,18/19
1347,22-12-2018,Huddersfield,1 - 3,Southampton,18/19
1348,27-12-2018,Southampton,1 - 2,West Ham,18/19
1349,30-12-2018,Southampton,1 - 3,Man City,18/19
1350,02-01-2019,Chelsea,0 - 0,Southampton,18/19
1351,12-01-2019,Leicester,1 - 2,Southampton,18/19
1352,19-01-2019,Southampton,2 - 1,Everton,18/19
1353,30-01-2019,Southampton,1 - 1,Crystal Palace,18/19
1354,02-02-2019,Burnley,1 - 1,Southampton,18/19
1355,09-02-2019,Southampton,1 - 2,Cardiff,18/19
1356,24-02-2019,Arsenal,2 - 0,Southampton,18/19
1357,27-02-2019,Southampton,2 - 0,Fulham,18/19
1358,02-03-2019,Man United,3 - 2,Southampton,18/19
1359,09-03-2019,Southampton,2 - 1,Tottenham,18/19
1360,30-03-2019,Brighton,0 - 1,Southampton,18/19
1361,05-04-2019,Southampton,1 - 3,Liverpool,18/19
1362,13-04-2019,Southampton,3 - 1,Wolves,18/19
1363,20-04-2019,Newcastle,3 - 1,Southampton,18/19
1364,23-04-2019,Watford,1 - 1,Southampton,18/19
1365,27-04-2019,Southampton,3 - 3,Bournemouth,18/19
1366,04-05-2019,West Ham,3 - 0,Southampton,18/19
1367,12-05-2019,Southampton,1 - 1,Huddersfield,18/19
1368,11-08-2018,Newcastle,1 - 2,Tottenham,18/19
1369,18-08-2018,Tottenham,3 - 1,Fulham,18/19
1370,27-08-2018,Man United,0 - 3,Tottenham,18/19
1371,02-09-2018,Watford,2 - 1,Tottenham,18/19
1372,15-09-2018,Tottenham,1 - 2,Liverpool,18/19
1373,22-09-2018,Brighton,1 - 2,Tottenham,18/19
1374,29-09-2018,Huddersfield,0 - 2,Tottenham,18/19
1375,06-10-2018,Tottenham,1 - 0,Cardiff,18/19
1376,20-10-2018,West Ham,0 - 1,Tottenham,18/19
1377,29-10-2018,Tottenham,0 - 1,Man City,18/19
1378,03-11-2018,Wolves,2 - 3,Tottenham,18/19
1379,10-11-2018,Crystal Palace,0 - 1,Tottenham,18/19
1380,24-11-2018,Tottenham,3 - 1,Chelsea,18/19
1381,02-12-2018,Arsenal,4 - 2,Tottenham,18/19
1382,05-12-2018,Tottenham,3 - 1,Southampton,18/19
1383,08-12-2018,Leicester,0 - 2,Tottenham,18/19
1384,15-12-2018,Tottenham,1 - 0,Burnley,18/19
1385,23-12-2018,Everton,2 - 6,Tottenham,18/19
1386,26-12-2018,Tottenham,5 - 0,Bournemouth,18/19
