,date,home_team,score,away_team,season
148,06-05-2018,Barcelona,2 - 2,Real Madrid,17/18
149,09-05-2018,Barcelona,5 - 1,Villarreal,17/18
150,13-05-2018,Levante,5 - 4,Barcelona,17/18
151,20-05-2018,Barcelona,1 - 0,Sociedad,17/18
152,20-08-2017,Barcelona,2 - 0,Betis,17/18
153,25-08-2017,Betis,2 - 1,Celta,17/18
154,10-09-2017,Villarreal,3 - 1,Betis,17/18
155,16-09-2017,Betis,2 - 1,La Coruna,17/18
156,20-09-2017,Real Madrid,0 - 1,Betis,17/18
157,25-09-2017,Betis,4 - 0,Levante,17/18
158,01-10-2017,Sociedad,4 - 4,Betis,17/18
159,15-10-2017,Betis,3 - 6,Valencia,17/18
160,21-10-2017,Betis,2 - 0,Alaves,17/18
161,30-10-2017,Espanol,1 - 0,Betis,17/18
162,03-11-2017,Betis,2 - 2,Getafe,17/18
163,20-11-2017,Eibar,5 - 0,Betis,17/18
164,25-11-2017,Betis,2 - 2,Girona,17/18
165,03-12-2017,Las Palmas,1 - 0,Betis,17/18
166,10-12-2017,Betis,0 - 1,Ath Madrid,17/18
167,18-12-2017,Malaga,0 - 2,Betis,17/18
168,22-12-2017,Betis,0 - 2,Ath Bilbao,17/18
169,06-01-2018,Sevilla,3 - 5,Betis,17/18
170,15-01-2018,Betis,3 - 2,Leganes,17/18
171,21-01-2018,Betis,0 - 5,Barcelona,17/18
172,29-01-2018,Celta,3 - 2,Betis,17/18
173,03-02-2018,Betis,2 - 1,Villarreal,17/18
174,12-02-2018,La Coruna,0 - 1,Betis,17/18
175,18-02-2018,Betis,3 - 5,Real Madrid,17/18
176,26-02-2018,Levante,0 - 2,Betis,17/18
177,01-03-2018,Betis,0 - 0,Sociedad,17/18
178,04-03-2018,Valencia,2 - 0,Betis,17/18
179,12-03-2018,Alaves,1 - 3,Betis,17/18
180,17-03-2018,Betis,3 - 0,Espanol,17/18
181,02-04-2018,Getafe,0 - 1,Betis,17/18
182,07-04-2018,Betis,2 - 0,Eibar,17/18
183,13-04-2018,Girona,0 - 1,Betis,17/18
184,19-04-2018,Betis,1 - 0,Las Palmas,17/18
185,22-04-2018,Ath Madrid,0 - 0,Betis,17/18
186,30-04-2018,Betis,2 - 1,Malaga,17/18
187,05-05-2018,Ath Bilbao,2 - 0,Betis,17/18
188,12-05-2018,Betis,2 - 2,Sevilla,17/18
189,19-05-2018,Leganes,3 - 2,Betis,17/18
190,19-08-2017,Celta,2 - 3,Sociedad,17/18
191,25-08-2017,Betis,2 - 1,Celta,17/18
192,10-09-2017,Celta,1 - 0,Alaves,17/18
193,18-09-2017,Espanol,2 - 1,Celta,17/18
194,21-09-2017,Celta,1 - 1,Getafe,17/18
195,24-09-2017,Eibar,0 - 4,Celta,17/18
196,29-09-2017,Celta,3 - 3,Girona,17/18
197,16-10-2017,Las Palmas,2 - 5,Celta,17/18
198,22-10-2017,Celta,0 - 1,Ath Madrid,17/18
199,29-10-2017,Malaga,2 - 1,Celta,17/18
200,05-11-2017,Celta,3 - 1,Ath Bilbao,17/18
201,18-11-2017,Sevilla,2 - 1,Celta,17/18
202,24-11-2017,Celta,1 - 0,Leganes,17/18
203,02-12-2017,Barcelona,2 - 2,Celta,17/18
204,09-12-2017,Valencia,2 - 1,Celta,17/18
205,17-12-2017,Celta,0 - 1,Villarreal,17/18
206,23-12-2017,La Coruna,1 - 3,Celta,17/18
207,07-01-2018,Celta,2 - 2,Real Madrid,17/18
208,14-01-2018,Levante,0 - 1,Celta,17/18
209,21-01-2018,Sociedad,1 - 2,Celta,17/18
210,29-01-2018,Celta,3 - 2,Betis,17/18
211,03-02-2018,Alaves,2 - 1,Celta,17/18
212,11-02-2018,Celta,2 - 2,Espanol,17/18
213,19-02-2018,Getafe,3 - 0,Celta,17/18
214,24-02-2018,Celta,2 - 0,Eibar,17/18
215,27-02-2018,Girona,1 - 0,Celta,17/18
216,05-03-2018,Celta,2 - 1,Las Palmas,17/18
217,11-03-2018,Ath Madrid,3 - 0,Celta,17/18
218,18-03-2018,Celta,0 - 0,Malaga,17/18
219,31-03-2018,Ath Bilbao,1 - 1,Celta,17/18
220,07-04-2018,Celta,4 - 0,Sevilla,17/18
221,14-04-2018,Leganes,1 - 0,Celta,17/18
222,17-04-2018,Celta,2 - 2,Barcelona,17/18
223,21-04-2018,Celta,1 - 1,Valencia,17/18
224,28-04-2018,Villarreal,4 - 1,Celta,17/18
225,05-05-2018,Celta,1 - 1,La Coruna,17/18
226,12-05-2018,Real Madrid,6 - 0,Celta,17/18
227,19-05-2018,Celta,4 - 2,Levante,17/18
228,21-08-2017,Malaga,0 - 1,Eibar,17/18
229,27-08-2017,Eibar,0 - 1,Ath Bilbao,17/18
230,09-09-2017,Sevilla,3 - 0,Eibar,17/18
231,15-09-2017,Eibar,1 - 0,Leganes,17/18
232,19-09-2017,Barcelona,6 - 1,Eibar,17/18
233,24-09-2017,Eibar,0 - 4,Celta,17/18
234,01-10-2017,Villarreal,3 - 0,Eibar,17/18
235,15-10-2017,Eibar,0 - 0,La Coruna,17/18
236,22-10-2017,Real Madrid,3 - 0,Eibar,17/18
237,29-10-2017,Eibar,2 - 2,Levante,17/18
238,05-11-2017,Sociedad,3 - 1,Eibar,17/18
239,20-11-2017,Eibar,5 - 0,Betis,17/18
240,25-11-2017,Alaves,1 - 2,Eibar,17/18
241,03-12-2017,Eibar,3 - 1,Espanol,17/18
242,09-12-2017,Getafe,0 - 0,Eibar,17/18
243,16-12-2017,Eibar,2 - 1,Valencia,17/18
244,21-12-2017,Eibar,4 - 1,Girona,17/18
245,06-01-2018,Las Palmas,1 - 2,Eibar,17/18
246,13-01-2018,Eibar,0 - 1,Ath Madrid,17/18
247,22-01-2018,Eibar,1 - 1,Malaga,17/18
248,26-01-2018,Ath Bilbao,1 - 1,Eibar,17/18
249,03-02-2018,Eibar,5 - 1,Sevilla,17/18
250,10-02-2018,Leganes,0 - 1,Eibar,17/18
251,17-02-2018,Eibar,0 - 2,Barcelona,17/18
252,24-02-2018,Celta,2 - 0,Eibar,17/18
253,28-02-2018,Eibar,1 - 0,Villarreal,17/18
254,03-03-2018,La Coruna,1 - 1,Eibar,17/18
255,10-03-2018,Eibar,1 - 2,Real Madrid,17/18
256,16-03-2018,Levante,2 - 1,Eibar,17/18
257,01-04-2018,Eibar,0 - 0,Sociedad,17/18
258,07-04-2018,Betis,2 - 0,Eibar,17/18
259,15-04-2018,Eibar,0 - 1,Alaves,17/18
260,18-04-2018,Espanol,0 - 1,Eibar,17/18
261,21-04-2018,Eibar,0 - 1,Getafe,17/18
262,29-04-2018,Valencia,0 - 0,Eibar,17/18
263,05-05-2018,Girona,1 - 4,Eibar,17/18
264,12-05-2018,Eibar,1 - 0,Las Palmas,17/18
265,20-05-2018,Ath Madrid,2 - 2,Eibar,17/18
266,19-08-2017,Sevilla,1 - 1,Espanol,17/18
267,27-08-2017,Espanol,0 - 1,Leganes,17/18
268,09-09-2017,Barcelona,5 - 0,Espanol,17/18
269,18-09-2017,Espanol,2 - 1,Celta,17/18
270,21-09-2017,Villarreal,0 - 0,Espanol,17/18
271,24-09-2017,Espanol,4 - 1,La Coruna,17/18
272,01-10-2017,Real Madrid,2 - 0,Espanol,17/18
273,13-10-2017,Espanol,0 - 0,Levante,17/18
274,23-10-2017,Sociedad,1 - 1,Espanol,17/18
275,30-10-2017,Espanol,1 - 0,Betis,17/18
276,04-11-2017,Alaves,1 - 0,Espanol,17/18
277,19-11-2017,Espanol,0 - 2,Valencia,17/18
278,27-11-2017,Espanol,1 - 0,Getafe,17/18
279,03-12-2017,Eibar,3 - 1,Espanol,17/18
280,11-12-2017,Espanol,0 - 1,Girona,17/18
281,17-12-2017,Las Palmas,2 - 2,Espanol,17/18
282,22-12-2017,Espanol,1 - 0,Ath Madrid,17/18
283,08-01-2018,Malaga,0 - 1,Espanol,17/18
284,14-01-2018,Espanol,1 - 1,Ath Bilbao,17/18
285,20-01-2018,Espanol,0 - 3,Sevilla,17/18
286,28-01-2018,Leganes,3 - 2,Espanol,17/18
287,04-02-2018,Espanol,1 - 1,Barcelona,17/18
288,11-02-2018,Celta,2 - 2,Espanol,17/18
289,18-02-2018,Espanol,1 - 1,Villarreal,17/18
290,23-02-2018,La Coruna,0 - 0,Espanol,17/18
291,27-02-2018,Espanol,1 - 0,Real Madrid,17/18
292,04-03-2018,Levante,1 - 1,Espanol,17/18
293,11-03-2018,Espanol,2 - 1,Sociedad,17/18
294,17-03-2018,Betis,3 - 0,Espanol,17/18
295,01-04-2018,Espanol,0 - 0,Alaves,17/18
296,08-04-2018,Valencia,1 - 0,Espanol,17/18
297,15-04-2018,Getafe,1 - 0,Espanol,17/18
298,18-04-2018,Espanol,0 - 1,Eibar,17/18
299,22-04-2018,Girona,0 - 2,Espanol,17/18
300,28-04-2018,Espanol,1 - 1,Las Palmas,17/18
301,06-05-2018,Ath Madrid,0 - 2,Espanol,17/18
302,13-05-2018,Espanol,4 - 1,Malaga,17/18
303,20-05-2018,Ath Bilbao,0 - 1,Espanol,17/18
304,20-08-2017,Ath Bilbao,0 - 0,Getafe,17/18
305,27-08-2017,Getafe,0 - 1,Sevilla,17/18
306,08-09-2017,Leganes,1 - 2,Getafe,17/18
307,16-09-2017,Getafe,1 - 2,Barcelona,17/18
308,21-09-2017,Celta,1 - 1,Getafe,17/18
309,24-09-2017,Getafe,4 - 0,Villarreal,17/18
310,30-09-2017,La Coruna,2 - 1,Getafe,17/18
311,14-10-2017,Getafe,1 - 2,Real Madrid,17/18
312,21-10-2017,Levante,1 - 1,Getafe,17/18
313,29-10-2017,Getafe,2 - 1,Sociedad,17/18
314,03-11-2017,Betis,2 - 2,Getafe,17/18
315,18-11-2017,Getafe,4 - 1,Alaves,17/18
316,27-11-2017,Espanol,1 - 0,Getafe,17/18
317,03-12-2017,Getafe,1 - 0,Valencia,17/18
318,09-12-2017,Getafe,0 - 0,Eibar,17/18
319,17-12-2017,Girona,1 - 0,Getafe,17/18
320,20-12-2017,Getafe,2 - 0,Las Palmas,17/18
321,06-01-2018,Ath Madrid,2 - 0,Getafe,17/18
322,12-01-2018,Getafe,1 - 0,Malaga,17/18
323,19-01-2018,Getafe,2 - 2,Ath Bilbao,17/18
324,28-01-2018,Sevilla,1 - 1,Getafe,17/18
325,04-02-2018,Getafe,0 - 0,Leganes,17/18
326,11-02-2018,Barcelona,0 - 0,Getafe,17/18
327,19-02-2018,Getafe,3 - 0,Celta,17/18
328,25-02-2018,Villarreal,1 - 0,Getafe,17/18
329,28-02-2018,Getafe,3 - 0,La Coruna,17/18
330,03-03-2018,Real Madrid,3 - 1,Getafe,17/18
331,10-03-2018,Getafe,0 - 1,Levante,17/18
332,17-03-2018,Sociedad,1 - 2,Getafe,17/18
333,02-04-2018,Getafe,0 - 1,Betis,17/18
334,07-04-2018,Alaves,2 - 0,Getafe,17/18
335,15-04-2018,Getafe,1 - 0,Espanol,17/18
336,18-04-2018,Valencia,1 - 2,Getafe,17/18
337,21-04-2018,Eibar,0 - 1,Getafe,17/18
338,29-04-2018,Getafe,1 - 1,Girona,17/18
339,06-05-2018,Las Palmas,0 - 1,Getafe,17/18
340,12-05-2018,Getafe,0 - 1,Ath Madrid,17/18
341,19-05-2018,Malaga,0 - 1,Getafe,17/18
342,19-08-2017,Girona,2 - 2,Ath Madrid,17/18
343,26-08-2017,Girona,1 - 0,Malaga,17/18
344,10-09-2017,Ath Bilbao,2 - 0,Girona,17/18
345,17-09-2017,Girona,0 - 1,Sevilla,17/18
346,20-09-2017,Leganes,0 - 0,Girona,17/18
347,23-09-2017,Girona,0 - 3,Barcelona,17/18
348,29-09-2017,Celta,3 - 3,Girona,17/18
349,15-10-2017,Girona,1 - 2,Villarreal,17/18
350,23-10-2017,La Coruna,1 - 2,Girona,17/18
351,29-10-2017,Girona,2 - 1,Real Madrid,17/18
352,05-11-2017,Levante,1 - 2,Girona,17/18
353,17-11-2017,Girona,1 - 1,Sociedad,17/18
354,25-11-2017,Betis,2 - 2,Girona,17/18
355,04-12-2017,Girona,2 - 3,Alaves,17/18
356,11-12-2017,Espanol,0 - 1,Girona,17/18
357,17-12-2017,Girona,1 - 0,Getafe,17/18
358,21-12-2017,Eibar,4 - 1,Girona,17/18
359,06-01-2018,Valencia,2 - 1,Girona,17/18
360,13-01-2018,Girona,6 - 0,Las Palmas,17/18
361,20-01-2018,Ath Madrid,1 - 1,Girona,17/18
362,27-01-2018,Malaga,0 - 0,Girona,17/18
363,04-02-2018,Girona,2 - 0,Ath Bilbao,17/18
